qc_id,codmunic,nommunic,popurbmun,icon_url
"0","1100023",Ariquemes,"76525",
"1","1100049",Cacoal,"61921",
"2","1100122",Ji-Paraná,"104858",
"3","1100304",Vilhena,"72218",
"4","1200203",Cruzeiro do Sul,"55326",
"5","1301902",Itacoatiara,"58157",
"6","1302504",Manacapuru,"60174",
"7","1303403",Parintins,"69890",
"8","1304203",Tefé,"50069",
"9","1500107",Abaetetuba,"82998",
"10","1500602",Altamira,"84092",
"11","1501709",Bragança,"72621",
"12","1502103",Cametá,"52838",
"13","1502202",Capanema,"50732",
"14","1502400",Castanhal,"153378",
"15","1503606",Itaituba,"70682",
"16","1504208",Marabá,"186270",
"17","1504422",Marituba,"107123",
"18","1505502",Paragominas,"76511",
"19","1505536",Parauapebas,"138690",
"20","1506138",Redenção,"70065",
"21","1507953",Tailândia,"58713",
"22","1508100",Tucuruí,"92442",
"23","1600600",Santana,"99111",
"24","1702109",Araguaína,"142925",
"25","1709500",Gurupi,"75000",
"26","2100055",Açailândia,"78237",
"27","2101202",Bacabal,"77860",
"28","2101400",Balsas,"72771",
"29","2101608",Barra do Corda,"51648",
"30","2103000",Caxias,"118534",
"31","2103208",Chapadinha,"52882",
"32","2103307",Codó,"81045",
"33","2107506",Paço do Lumiar,"78811",
"34","2109908",Santa Inês,"73197",
"35","2112209",Timon,"135133",
"36","2207702",Parnaíba,"137485",
"37","2208007",Picos,"58307",
"38","2301000",Aquiraz,"67083",
"39","2303501",Cascavel,"56157",
"40","2304103",Crateús,"52644",
"41","2304202",Crato,"100916",
"42","2305233",Horizonte,"51049",
"43","2305506",Iguatu,"74627",
"44","2306405",Itapipoca,"66909",
"45","2307700",Maranguape,"86309",
"46","2309607",Pacajus,"50675",
"47","2309706",Pacatuba,"62095",
"48","2311306",Quixadá,"57485",
"49","2312908",Sobral,"166310",
"50","2402006",Caicó,"57461",
"51","2412005",São Gonçalo do Amarante,"74099",
"52","2501807",Bayeux,"98793",
"53","2503209",Cabedelo,"57936",
"54","2510808",Patos,"97278",
"55","2513703",Santa Rita,"103717",
"56","2516201",Sousa,"51881",
"57","2600054",Abreu e Lima,"86625",
"58","2601201",Arcoverde,"62668",
"59","2601706",Belo Jardim,"58233",
"60","2602902",Cabo de Santo Agostinho,"167783",
"61","2603454",Camaragibe,"144466",
"62","2604007",Carpina,"72056",
"63","2605202",Escada,"53964",
"64","2606002",Garanhuns,"115356",
"65","2606200",Goiana,"58025",
"66","2606408",Gravatá,"68385",
"67","2606804",Igarassu,"93931",
"68","2607208",Ipojuca,"59719",
"69","2609402",Moreno,"50197",
"70","2612505",Santa Cruz do Capibaribe,"85594",
"71","2613701",São Lourenço da Mata,"96777",
"72","2613909",Serra Talhada,"61275",
"73","2616407",Vitória de Santo Antão,"113429",
"74","2700300",Arapiraca,"181481",
"75","2706307",Palmeira dos Índios,"51610",
"76","2707701",Rio Largo,"55947",
"77","2708600",São Miguel dos Campos,"52566",
"78","2802106",Estância,"54760",
"79","2802908",Itabaiana,"67709",
"80","2804805",Nossa Senhora do Socorro,"155823",
"81","2806701",São Cristóvão,"66665",
"82","2900702",Alagoinhas,"124042",
"83","2903201",Barreiras,"123741",
"84","2906501",Candeias,"75994",
"85","2910057",Dias d´Ávila,"62473",
"86","2910727",Eunápolis,"93413",
"87","2911709",Guanambi,"62565",
"88","2913606",Ilhéus,"155281",
"89","2914604",Irecê,"61019",
"90","2914802",Itabuna,"199643",
"91","2916401",Itapetinga,"66276",
"92","2917508",Jacobina,"55868",
"93","2918001",Jequié,"139426",
"94","2918407",Juazeiro,"160775",
"95","2919207",Lauro de Freitas,"163449",
"96","2919553",Luís Eduardo Magalhães,"54881",
"97","2924009",Paulo Afonso,"93404",
"98","2925303",Porto Seguro,"104078",
"99","2928703",Santo Antônio de Jesus,"79299",
"100","2930105",Senhor do Bonfim,"57566",
"101","2930709",Simões Filho,"105811",
"102","2931350",Teixeira de Freitas,"129263",
"103","2932903",Valença,"64368",
"104","3101607",Alfenas,"69176",
"105","3103504",Araguari,"102583",
"106","3104007",Araxá,"92284",
"107","3105608",Barbacena,"115568",
"108","3113404",Caratinga,"70474",
"109","3115300",Cataguases,"66780",
"110","3118304",Conselheiro Lafaiete,"111266",
"111","3119401",Coronel Fabriciano,"102395",
"112","3120904",Curvelo,"67382",
"113","3124104",Esmeraldas,"56215",
"114","3126109",Formiga,"59487",
"115","3129806",Ibirité,"158590",
"116","3131703",Itabira,"102316",
"117","3132404",Itajubá,"82764",
"118","3133808",Itaúna,"80451",
"119","3134202",Ituiutaba,"93125",
"120","3135100",Janaúba,"60570",
"121","3136207",João Monlevade,"73277",
"122","3138203",Lavras,"87856",
"123","3139409",Manhuaçu,"64839",
"124","3143906",Muriaé,"93225",
"125","3144805",Nova Lima,"79232",
"126","3145208",Nova Serrana,"69695",
"127","3146107",Ouro Preto,"61120",
"128","3147006",Paracatu,"73772",
