qc_id,nome,geocodigo,hierarquia,icon_url
"0",Cruzeiro do Sul,"1200203",Centro Subregional B,
"1",Rio Branco,"1200401",Capital Regional C,
"2",Tefé,"1304203",Centro Subregional B,
"3",Porto Velho,"1100205",Capital Regional B,
"4",Ariquemes,"1100023",Centro Subregional B,
"5",Ji-Paraná,"1100122",Centro Subregional A,
"6",Cacoal,"1100049",Centro Subregional B,
"7",Manaus,"1302603",Metrópole,
"8",Vilhena,"1100304",Centro Subregional B,
"9",Cáceres,"5102504",Centro Subregional A,
"10",Itaituba,"1503606",Centro Subregional B,
"11",Parintins,"1303403",Centro Subregional B,
"12",Uruguaiana,"4322400",Centro Subregional A,
"13",Santarém,"1506807",Capital Regional C,
"14",Cuiabá,"5103403",Capital Regional A,
"15",Sinop,"5107909",Centro Subregional A,
"16",Altamira,"1500602",Centro Subregional B,
"17",Dourados,"5003702",Capital Regional C,
"18",Rondonópolis,"5107602",Centro Subregional A,
"19",Campo Grande,"5002704",Capital Regional A,
"20",Santa Rosa,"4317202",Centro Subregional A,
"21",Bagé,"4301602",Centro Subregional A,
"22",Foz do Iguaçu,"4108304",Centro Subregional A,
"23",Santo Ângelo,"4317509",Centro Subregional A,
"24",Santa Maria,"4316907",Capital Regional B,
"25",Ijuí,"4310207",Capital Regional C,
"26",Toledo,"4127700",Centro Subregional A,
"27",Cruz Alta,"4306106",Centro Subregional B,
"29",Umuarama,"4128104",Centro Subregional A,
"30",São Miguel do Oeste,"4217204",Centro Subregional B,
"31",Frederico Westphalen,"4308508",Centro Subregional B,
"32",Francisco Beltrão,"4108403",Centro Subregional A,
"33",Barra do Garças,"5101803",Centro Subregional A,
"34",Carazinho,"4304705",Centro Subregional B,
"35",Chapecó,"4204202",Capital Regional B,
"36",Pato Branco,"4118501",Centro Subregional A,
"37",Paranavaí,"4118402",Centro Subregional A,
"38",Cianorte,"4105508",Centro Subregional B,
"39",Passo Fundo,"4314100",Capital Regional B,
"40",Pelotas,"4314407",Capital Regional C,
"41",Santa Cruz do Sul,"4316808",Centro Subregional A,
"42",Xanxerê,"4219507",Centro Subregional B,
"43",Campo Mourão,"4104303",Centro Subregional A,
"44",Erechim,"4307005",Centro Subregional A,
"45",Concórdia,"4204301",Centro Subregional B,
"46",Lajeado,"4311403",Centro Subregional A,
"47",Maringá,"4115200",Capital Regional B,
"48",Guarapuava,"4109401",Centro Subregional A,
"49",Bento Gonçalves,"4302105",Centro Subregional A,
"50",Ivaiporã,"4111506",Centro Subregional B,
"51",Joaçaba,"4209003",Centro Subregional A,
"52",Rio Verde,"5218805",Centro Subregional A,
"53",Apucarana,"4101408",Centro Subregional A,
"54",Caçador,"4203006",Centro Subregional A,
"55",Presidente Prudente,"3541406",Capital Regional C,
"56",Porto Alegre,"4314902",Metrópole,
"57",Andradina,"3502101",Centro Subregional B,
"58",Caxias do Sul,"4305108",Capital Regional B,
"59",Videira,"4219309",Centro Subregional B,
"60",União da Vitória,"4128203",Centro Subregional B,
"61",Novo Hamburgo,"4313409",Capital Regional C,
"62",Londrina,"4113700",Capital Regional B,
"63",Macapá,"1600303",Capital Regional C,
"64",Marabá,"1504208",Capital Regional C,
"65",Breves,"1501808",Centro Subregional B,
"67",Lages,"4209300",Centro Subregional A,
"68",Assis,"3504008",Centro Subregional B,
"69",Ponta Grossa,"4119905",Capital Regional C,
"70",Redenção,"1506138",Centro Subregional A,
"71",Mafra,"4210100",Centro Subregional B,
"72",Santo Antônio da Platina,"4124103",Centro Subregional B,
"73",Marília,"3529005",Capital Regional C,
"74",Ourinhos,"3534708",Centro Subregional A,
"75",Rio do Sul,"4214805",Centro Subregional A,
"76",Itumbiara,"5211503",Centro Subregional A,
"77",Araranguá,"4201406",Centro Subregional B,
"78",Tucuruí,"1508100",Centro Subregional B,
"79",Ituiutaba,"3134202",Centro Subregional B,
"80",Criciúma,"4204608",Capital Regional C,
"81",Curitiba,"4106902",Metrópole,
"82",Cametá,"1502103",Centro Subregional B,
"83",Tubarão,"4218707",Centro Subregional A,
"84",São José do Rio Preto,"3549805",Capital Regional B,
"86",Joinville,"4209102",Capital Regional B,
"88",Goiânia,"5208707",Metrópole,
"89",Itapeva,"3522406",Centro Subregional B,
"90",Brusque,"4202909",Centro Subregional B,
"91",Avaré,"3504503",Centro Subregional B,
"92",Itajaí,"4208203",Centro Subregional A,
"93",Catanduva,"3511102",Centro Subregional A,
"94",Anápolis,"5201108",Centro Subregional A,
"95",Araguaína,"1702109",Capital Regional C,
"96",Gurupi,"1709500",Centro Subregional B,
"97",Balneário Camboriú,"4202008",Centro Subregional B,
"98",Botucatu,"3507506",Centro Subregional A,
"99",Paranaguá,"4118204",Centro Subregional A,
"100",Barretos,"3505500",Centro Subregional A,
"101",Florianópolis,"4205407",Capital Regional A,
"102",Abaetetuba,"1500107",Centro Subregional B,
"103",Jaú,"3525300",Centro Subregional A,
"104",Uberlândia,"3170206",Capital Regional B,
"105",Paragominas,"1505502",Centro Subregional B,
"106",Itapetininga,"3522307",Centro Subregional B,
"107",Araraquara,"3503208",Capital Regional C,
