qc_id,municdv,municipio,tot_2007,urb_2007,txurb_2007,rur_2007,cresc_2007,geocodigo,icon_url
"0","2906907",Caravelas,21068,11523,54.694323,9545,0.672052,"2906907",
"1","1100015",Alta Floresta d'Oeste,23783,13312,55.972754,10471,-1.550964,"1100015",
"2","4309605",Horizontina,18273,14210,77.765008,4063,0.45699,"4309605",
"3","3550803",São Sebastião da Grama,12471,8278,66.377997,4193,0.019489,"3550803",
"4","2301950",Barreira,18388,7188,39.090711,11200,1.107143,"2301950",
"5","3550902",São Simão,13107,12191,93.011368,916,-0.604209,"3550902",
"6","3157708",Santa Juliana,10534,8778,83.330169,1756,3.865167,"3157708",
"7","2907103",Carinhanha,28398,12308,43.34108,16090,0.579648,"2907103",
"8","2302008",Barro,20640,11989,58.08624,8651,0.445973,"2302008",
"9","2302057",Barroquinha,14779,9687,65.545707,5092,0.858071,"2302057",
"10","3157906",Santa Margarida,14165,6775,47.829156,7390,0.464358,"3157906",
"11","2907301",Castro Alves,24350,13977,57.400411,10373,-0.690972,"2907301",
"12","2302107",Baturité,31537,22848,72.448235,8689,0.783168,"2302107",
"13","1100056",Cerejeiras,16237,13585,83.666934,2652,-1.6226,"1100056",
"14","3158003",Santa Maria de Itabira,10377,6029,58.099643,4348,0.04275,"3158003",
"15","2302206",Beberibe,45962,19774,43.022497,26188,1.178488,"2302206",
"16","1100064",Colorado do Oeste,17535,12486,71.206159,5049,-3.120592,"1100064",
"17","2302305",Bela Cruz,29462,12232,41.517887,17230,0.547093,"2302305",
"18","2907509",Catu,48471,40139,82.81034,8332,0.523622,"2907509",
"19","3158201",Santa Maria do Suaçuí,14270,10232,71.702873,4038,-0.079833,"3158201",
"20","1100080",Costa Marques,13487,7119,52.784163,6368,4.059587,"1100080",
"21","4310009",Ibirubá,18604,14329,77.021071,4275,-0.022249,"4310009",
"22","2907608",Central,17284,7965,46.083083,9319,0.413404,"2907608",
"23","2302503",Brejo Santo,39589,24330,61.456465,15259,0.405229,"2302503",
"24","1100098",Espigão d'Oeste,27753,19301,69.545635,8452,1.110694,"1100098",
"25","4310108",Igrejinha,30930,29678,95.95215,1252,2.086568,"4310108",
"26","3551603",Serra Negra,24555,21239,86.495622,3316,0.416427,"3551603",
"27","2907707",Chorrochó,10502,2441,23.243192,8061,0.458551,"2907707",
"28","1100106",Guajará-Mirim,35829,32876,91.758073,2953,-0.853651,"1100106",
"29","2302701",Campos Sales,25501,18276,71.667778,7225,-0.03636,"2302701",
"30","2907806",Cícero Dantas,30761,16851,54.780404,13910,-0.080086,"2907806",
"31","3551801",Sete Barras,12835,6357,49.528633,6478,-0.941842,"3551801",
"32","2907905",Cipó,15025,10184,67.780366,4841,0.724115,"2907905",
"33","4310330",Imbé,14868,14826,99.717514,42,2.815163,"4310330",
"34","3551900",Severínia,14636,13880,94.834654,756,1.048991,"3551900",
"35","2908002",Coaraci,22682,20516,90.450578,2166,-2.890726,"2908002",
"36","2302909",Capistrano,16341,5773,35.328315,10568,0.454895,"2302909",
"37","1100130",Machadinho d'Oeste,31183,16134,51.73973,15049,4.614615,"1100130",
"38","2908101",Cocos,17295,7612,44.01272,9683,-0.258327,"2908101",
"39","2303006",Caridade,17927,9629,53.712278,8298,2.002365,"2303006",
"40","1100148",Nova Brasilândia d'Oeste,16942,7906,46.665093,9036,-0.10496,"1100148",
"41","3552106",Socorro,32948,21684,65.812796,11264,0.106244,"3552106",
"42","2303105",Cariré,18464,7779,42.130633,10685,-0.11782,"2303105",
"43","2908200",Conceição da Feira,19005,12036,63.330702,6969,1.174003,"2908200",
"44","1100155",Ouro Preto do Oeste,35832,25794,71.985934,10038,-1.866608,"1100155",
"45","2303204",Caririaçu,26265,11775,44.831525,14490,0.292757,"2303204",
"46","2908309",Conceição do Almeida,17598,8243,46.84055,9355,-1.023461,"2908309",
"47","1100189",Pimenta Bueno,32408,27560,85.040731,4848,0.292564,"1100189",
"48","2303303",Cariús,18614,7659,41.146449,10955,0.131156,"2303303",
"49","2303402",Carnaubal,15982,7598,47.540984,8384,0.690889,"2303402",
"50","1100254",Presidente Médici,22087,12877,58.301263,9210,-2.497542,"1100254",
"51","2908606",Conde,21689,11349,52.326064,10340,0.860778,"2908606",
"52","2908705",Condeúba,16984,7277,42.846208,9707,-0.863504,"2908705",
"53","2303600",Catarina,16995,8581,50.491321,8414,1.280291,"2303600",
"54","1100288",Rolim de Moura,48439,38655,79.8014,9784,0.315681,"1100288",
"55","3552601",Tabapuã,11168,10187,91.215974,981,0.894609,"3552601",
"56","2303659",Catunda,10493,5128,48.870676,5365,1.761048,"2303659",
"57","3552700",Tabatinga,13904,11612,83.515535,2292,0.976115,"3552700",
"58","2908903",Coração de Maria,23068,8477,36.747876,14591,-0.456032,"2908903",
"59","4310603",Itaqui,36196,31687,87.542822,4509,-1.336196,"4310603",
"60","2303808",Cedro,24580,14456,58.812042,10124,0.304739,"2303808",
"61","1100320",São Miguel do Guaporé,22524,7315,32.47647,15209,-0.828104,"1100320",
"62","3159605",Santa Rita do Sapucaí,33990,28807,84.751397,5183,1.201433,"3159605",
"63","2909109",Coribe,14481,5575,38.498722,8906,-0.641236,"2909109",
"64","2303907",Chaval,12071,8681,71.916163,3390,-0.108408,"2303907",
"65","1100338",Nova Mamoré,20943,11994,57.269732,8949,5.10706,"1100338",
"66","2303931",Choró,12714,3494,27.481516,9220,0.827891,"2303931",
"67","2909208",Coronel João Sá,18037,6649,36.863115,11388,-1.226914,"2909208",
"68","1100346",Alvorada d'Oeste,16341,8272,50.621137,8069,-2.72809,"1100346",
"69","3159803",Santa Vitória,15104,12372,81.912076,2732,-1.138968,"3159803",
"70","2909307",Correntina,31440,12327,39.208015,19113,0.39559,"2909307",
"71","2303956",Chorozinho,18208,10592,58.172232,7616,-0.385494,"2303956",
"72","1100379",Alto Alegre dos Parecis,11580,3392,29.291883,8188,-1.319112,"1100379",
"73","3159902",Santo Antônio do Amparo,17062,15081,88.389403,1981,0.824461,"3159902",
"74","2909406",Cotegipe,13515,6335,46.873844,7180,0.149936,"2909406",
"75","2304004",Coreaú,21109,12087,57.259937,9022,0.787624,"2304004",
"76","1100403",Alto Paraíso,16654,7577,45.496577,9077,3.468291,"1100403",
"77","3553302",Tambaú,21795,19170,87.955953,2625,-0.299848,"3553302",
"78","1100452",Buritis,32669,17983,55.046068,14686,3.505494,"1100452",
"79","4311007",Jaguarão,27751,25421,91.603906,2330,-1.150766,"4311007",
"80","3553401",Tanabi,23271,20075,86.266168,3196,0.427101,"3553401",
"81","2909604",Crisópolis,19475,7712,39.599487,11763,0.325488,"2909604",
"82","4311106",Jaguari,11516,6321,54.88885,5195,-1.150909,"4311106",
"83","2909703",Cristópolis,13562,3044,22.445067,10518,0.985775,"2909703",
"84","2304236",Croatá,17302,7063,40.82187,10239,1.066235,"2304236",
"85","3553609",Tapiratiba,12199,9918,81.301746,2281,-0.84107,"3553609",
"86","2304251",Cruz,22098,9513,43.049145,12585,1.596413,"2304251",
"87","3160306",Santo Antônio do Jacinto,11280,6218,55.124113,5062,-1.048804,"3160306",
"88","1100700",Campo Novo de Rondônia,12367,3101,25.074796,9266,1.090289,"1100700",
"89","3160405",Santo Antônio do Monte,24660,20877,84.659367,3783,0.707227,"3160405",
"90","2909901",Curaçá,32354,13007,40.202139,19347,1.65555,"2909901",
"91","1100809",Candeias do Jamari,16409,9733,59.31501,6676,3.261833,"1100809",
"92","2910008",Dário Meira,12507,4967,39.71376,7540,-2.76746,"2910008",
"93","4311205",Júlio de Castilhos,19369,16029,82.75595,3340,-0.749251,"4311205",
"94","3553807",Taquarituba,22105,19141,86.591269,2964,0.079745,"3553807",
"95","2910107",Dom Basílio,11084,1716,15.481776,9368,0.876736,"2910107",
"96","2304301",Farias Brito,19221,8082,42.04776,11139,-0.787683,"2304301",
"97","1100940",Cujubim,13288,9371,70.522276,3917,10.66775,"1100940",
"98","3160702",Santos Dumont,45768,39812,86.986541,5956,-0.314689,"3160702",
"99","2304350",Forquilha,20148,13535,67.177884,6613,2.043311,"2304350",
"100","1101005",Governador Jorge Teixeira,11389,2506,22.003688,8883,-2.544663,"1101005",
"101","4311304",Lagoa Vermelha,27209,23438,86.140615,3771,-1.306636,"4311304",
"102","3553955",Tarumã,12270,11449,93.308883,821,1.916751,"3553955",
"103","2910404",Encruzilhada,22196,4845,21.828257,17351,-5.477011,"2910404",
"104","2304459",Fortim,14045,9568,68.123888,4477,2.193349,"2304459",
"105","1101203",Ministro Andreazza,10308,3245,31.480404,7063,-1.356323,"1101203",
"106","2304509",Frecheirinha,12780,7056,55.211268,5724,1.107137,"2304509",
"107","2910503",Entre Rios,38512,23966,62.229954,14546,0.376168,"2910503",
"108","1101302",Mirante da Serra,12062,6299,52.221854,5763,-1.230451,"1101302",
"109","3161007",São Domingos do Prata,17288,10119,58.53193,7169,-0.28915,"3161007",
"110","2910602",Esplanada,30947,19718,63.715384,11229,1.844763,"2910602",
"111","1101401",Monte Negro,12172,5940,48.800526,6232,-0.522902,"1101401",
"112","3554300",Teodoro Sampaio,20197,15782,78.140318,4415,0.137978,"3554300",
"113","2304657",Graça,15275,5691,37.256956,9584,0.439711,"2304657",
"114","3554508",Tietê,33875,31020,91.571956,2855,0.947968,"3554508",
"115","2910750",Fátima,18888,6771,35.848158,12117,0.454387,"2910750",
"116","2304954",Guaiúba,22382,17440,77.919757,4942,1.704967,"2304954",
"117","2305001",Guaraciaba do Norte,36647,17225,47.002483,19422,0.643877,"2305001",
"118","2910859",Filadélfia,15928,8417,52.844048,7511,-1.086652,"2910859",
"119","1101492",São Francisco do Guaporé,15490,8040,51.904454,7450,4.896111,"1101492",
"120","1101500",Seringueiras,11593,3803,32.804278,7790,-0.076168,"1101500",
"121","2305209",Hidrolândia,18474,10458,56.609289,8016,0.623858,"2305209",
"122","2911006",Floresta Azul,10283,7308,71.068754,2975,-1.723815,"2911006",
"123","2911105",Formosa do Rio Preto,20658,11364,55.010166,9294,1.756063,"2911105",
"124","2305233",Horizonte,48568,42379,87.257042,6189,5.319518,"2305233",
"125","4311809",Marau,33720,28678,85.04745,5042,2.503337,"4311809",
"126","3161809",São Gonçalo do Pará,10253,7798,76.055789,2455,3.665752,"3161809",
"127","2911204",Gandu,29838,24238,81.231986,5600,1.352456,"2911204",
"128","2305266",Ibaretama,12673,4171,32.912491,8502,0.126894,"2305266",
"129","1101708",Urupá,13362,4846,36.267026,8516,-1.525434,"1101708",
"130","2305308",Ibiapina,23073,9685,41.975469,13388,0.580387,"2305308",
"131","3555109",Tupi Paulista,12661,10711,84.598373,1950,-0.685986,"3555109",
"132","3162005",São Gonçalo do Sapucaí,22626,18501,81.768762,4125,0.202409,"3162005",
"133","2911303",Gentio do Ouro,11267,5602,49.720422,5665,1.469854,"2911303",
"134","2305332",Ibicuitinga,10975,5588,50.915718,5387,2.183406,"2305332",
"135","3162104",São Gotardo,30527,28623,93.762898,1904,1.434089,"3162104",
"136","2911402",Glória,13863,2691,19.411383,11172,-0.697356,"2911402",
"137","2305357",Icapuí,17720,5515,31.123025,12205,1.422313,"2305357",
"138","1200013",Acrelândia,11468,5445,47.479944,6023,5.401958,"1200013",
"139","2911600",Governador Mangabeira,19732,7271,36.848774,12461,2.010942,"2911600",
"140","1200104",Brasiléia,18992,12175,64.105939,6817,1.584422,"1200104",
"141","2305605",Independência,25349,10788,42.557892,14561,0.049126,"2305605",
"142","3162401",São João da Ponte,26007,8303,31.92602,17704,-0.01153,"3162401",
"143","2305654",Ipaporanga,11346,3589,31.632293,7757,0.125276,"2305654",
"144","3162450",São João das Missões,10742,2119,19.726308,8623,0.700107,"3162450",
"145","2911808",Guaratinga,22339,10172,45.534715,12167,-1.205869,"2911808",
"146","2305704",Ipaumirim,11510,6607,57.402259,4903,-0.035942,"2305704",
"147","2305803",Ipu,39352,23425,59.526835,15927,0.099866,"2305803",
"148","2911857",Heliópolis,13998,5751,41.084441,8247,0.942871,"2911857",
"149","1200252",Epitaciolândia,13392,9191,68.630526,4201,2.813421,"1200252",
"150","2305902",Ipueiras,37996,18211,47.928729,19785,-0.083563,"2305902",
"151","2911907",Iaçu,27682,21141,76.370927,6541,-0.415659,"2911907",
"152","1200302",Feijó,31048,15496,49.909817,15552,2.16667,"1200302",
"153","2306009",Iracema,14242,9930,69.723353,4312,1.140648,"2306009",
"154","3556008",Urupês,11858,10449,88.117726,1409,0.030155,"3556008",
"155","2306108",Irauçuba,21881,13353,61.025547,8528,1.614785,"2306108",
"156","2912103",Ibicaraí,24597,18310,74.439972,6287,-2.257929,"2912103",
"157","1200336",Mâncio Lima,13718,8133,59.287068,5585,3.078055,"1200336",
"158","2912202",Ibicoara,15774,5824,36.921516,9950,1.257281,"2912202",
"159","3162708",São João do Paraíso,21821,9609,44.035562,12212,0.542528,"3162708",
"160","2912301",Ibicuí,15618,11558,74.004354,4060,0.455472,"2912301",
"161","1200351",Marechal Thaumaturgo,12999,3176,24.432649,9823,6.627814,"1200351",
"162","3556305",Valparaíso,18681,17268,92.436165,1413,0.082094,"3556305",
"163","3162807",São João Evangelista,15620,9837,62.976953,5783,0.086267,"3162807",
"164","2912400",Ibipeba,16725,9897,59.174888,6828,1.221799,"2912400",
"165","2306306",Itapagé,45363,31901,70.323832,13462,1.422291,"2306306",
"166","1200385",Plácido de Castro,17164,8809,51.322536,8355,1.777943,"1200385",
"167","3162906",São João Nepomuceno,24875,23480,94.39196,1395,0.641565,"3162906",
"168","2912509",Ibipitanga,13824,4281,30.967882,9543,0.425683,"2912509",
"169","3556404",Vargem Grande do Sul,37212,34824,93.582715,2388,0.354318,"3556404",
"170","2306504",Itapiúna,17501,8380,47.882978,9121,1.042055,"2306504",
"171","2306553",Itarema,34069,13860,40.682145,20209,1.66645,"2306553",
"172","2912707",Ibirapitanga,22929,6053,26.398884,16876,0.477519,"2912707",
"173","1200427",Rodrigues Alves,12358,3667,29.673086,8691,6.233787,"1200427",
"174","4312500",Mostardas,11852,7838,66.132298,4014,0.236049,"4312500",
"175","2306603",Itatira,17647,7802,44.211481,9845,1.832067,"2306603",
"176","2912905",Ibirataia,23556,17686,75.080659,5870,-0.698708,"2912905",
"177","2306702",Jaguaretama,17811,8187,45.965976,9624,-0.169684,"2306702",
"178","1200450",Senador Guiomard,18814,11246,59.774636,7568,-0.699102,"1200450",
"179","2913002",Ibitiara,15780,3175,20.120406,12605,1.272795,"2913002",
"180","1200500",Sena Madureira,34007,21206,62.35775,12801,2.091452,"1200500",
"181","3556800",Viradouro,16986,16360,96.314612,626,0.892222,"3556800",
"182","2913101",Ibititá,18559,8452,45.541247,10107,0.513813,"2913101",
"183","2306900",Jaguaribe,35123,22381,63.721778,12742,0.024835,"2306900",
"184","1200609",Tarauacá,31985,16472,51.49914,15513,2.982886,"1200609",
"185","4312658",Não-Me-Toque,15143,13020,85.980321,2123,0.708323,"4312658",
"186","2913200",Ibotirama,25156,18620,74.018127,6536,0.585327,"2913200",
"187","2307007",Jaguaruana,30888,17995,58.258871,12893,0.54495,"2307007",
"188","1200708",Xapuri,14259,7328,51.392103,6931,2.548432,"1200708",
"189","2307106",Jardim,25829,7895,30.566418,17934,-0.319436,"2307106",
"190","1200807",Porto Acre,13640,1834,13.445748,11806,2.572761,"1200807",
"191","4312708",Nonoai,12247,8973,73.266923,3274,-0.653306,"4312708",
"192","2913408",Igaporã,14483,7378,50.942484,7105,-0.07278,"2913408",
"193","1300029",Alvarães,12985,6964,53.631113,6021,0.954032,"1300029",
"194","2307254",Jijoca de Jericoacoara,15246,4598,30.15873,10648,3.370133,"2307254",
"195","2913457",Igrapiúna,13205,3887,29.43582,9318,-1.76684,"2913457",
"196","3163706",São Lourenço,40117,40117,100,0,1.190707,"3163706",
"197","2913507",Iguaí,27658,14056,50.820739,13602,1.376437,"2913507",
"198","3557204",Chavantes,12170,10931,89.819228,1239,-0.028141,"3557204",
"199","2307403",Jucás,22872,12490,54.608255,10382,0.150808,"2307403",
"200","1300102",Anori,13748,8587,62.459994,5161,2.814923,"1300102",
"201","2307502",Lavras da Mangabeira,29834,16924,56.727224,12910,-0.638887,"2307502",
"202","2913705",Inhambupe,34305,14091,41.075645,20214,2.135167,"2913705",
"203","1300144",Apuí,17176,9224,53.702841,7952,3.107557,"1300144",
"204","2913804",Ipecaetá,15985,2330,14.576165,13655,-1.97699,"2913804",
"205","1300201",Atalaia do Norte,13618,5733,42.098693,7885,4.437336,"1300201",
"206","2913903",Ipiaú,42128,37542,89.114128,4586,-0.49628,"2913903",
"207","2307635",Madalena,16951,6199,36.570114,10752,1.894648,"2307635",
"208","1300300",Autazes,29635,12405,41.859288,17230,2.848819,"1300300",
"209","1300409",Barcelos,24113,6655,27.59922,17458,-0.049667,"1300409",
"210","4313060",Nova Hartz,16665,14020,84.128413,2645,1.446626,"4313060",
"211","1300508",Barreirinha,26546,11728,44.179914,14818,2.339209,"1300508",
"212","2307809",Marco,23081,14026,60.768598,9055,1.760346,"2307809",
"213","1300607",Benjamin Constant,28889,18255,63.190142,10634,3.170508,"1300607",
"214","2914307",Iramaia,15063,7553,50.142734,7510,-2.16177,"2914307",
"215","2307908",Martinópole,10289,7953,77.296142,2336,2.5913,"2307908",
"216","1300631",Beruri,13764,7768,56.437082,5996,3.203272,"1300631",
"217","4313201",Nova Petrópolis,17626,12736,72.256893,4890,0.610343,"4313201",
"218","2914406",Iraquara,22512,5598,24.866738,16914,2.97616,"2914406",
"219","2308005",Massapê,33152,22578,68.104488,10574,1.644917,"2308005",
"220","1300680",Boa Vista do Ramos,13032,6566,50.383671,6466,3.159579,"1300680",
"221","4313300",Nova Prata,22106,18053,81.665611,4053,2.700778,"4313300",
"222","3164506",São Sebastião do Maranhão,11667,3396,29.10774,8271,0.07738,"3164506",
"223","2308104",Mauriti,41579,21228,51.054619,20351,-0.278605,"2308104",
"224","2914505",Irará,24936,9001,36.096407,15935,-0.129375,"2914505",
"225","1300706",Boca do Acre,29558,17828,60.315312,11730,1.323499,"1300706",
"226","2308203",Meruoca,12068,6443,53.389128,5625,0.894105,"2308203",
"227","1300805",Borba,30884,14003,45.340629,16881,1.094047,"1300805",
"228","2914653",Itabela,24863,19251,77.428307,5612,-0.49731,"2914653",
"229","2308302",Milagres,27249,11439,41.979522,15810,0.152969,"2308302",
"230","1300839",Caapiranga,10540,4613,43.766603,5927,2.606021,"1300839",
"231","2308351",Milhã,14103,6555,46.479472,7548,1.139105,"2308351",
"232","1300904",Canutama,11430,5804,50.778653,5626,0.897515,"1300904",
"233","2308377",Miraíma,12123,6200,51.142456,5923,0.860841,"2308377",
"234","1301001",Carauari,24820,18154,73.142627,6666,0.832254,"1301001",
"235","3165008",São Tiago,10234,7961,77.789721,2273,-0.015346,"3165008",
"236","2914901",Itacaré,24519,14165,57.771524,10354,4.415148,"2914901",
"237","2308401",Missão Velha,33654,14603,43.391573,19051,0.461765,"2308401",
"238","1301100",Careiro,30792,6697,21.749156,24095,1.599909,"1301100",
"239","2915007",Itaeté,13780,5593,40.587808,8187,-0.232124,"2915007",
"240","2308500",Mombaça,44292,18657,42.122731,25635,1.033905,"2308500",
"241","1301159",Careiro da Várzea,22925,789,3.441658,22136,4.132102,"1301159",
"242","2308609",Monsenhor Tabosa,16537,8761,52.97817,7776,0.167847,"2308609",
"243","2915106",Itagi,13851,10114,73.019999,3737,-0.777652,"2915106",
"244","2915205",Itagibá,16108,9443,58.623044,6665,-0.925264,"2915205",
"245","1301308",Codajás,15929,11486,72.107477,4443,-1.340357,"1301308",
"246","4313508",Osório,38378,33749,87.938402,4629,0.865627,"4313508",
"247","1301407",Eirunepé,29266,20608,70.416183,8658,1.66351,"1301407",
"248","2915353",Itaguaçu da Bahia,12388,2354,19.00226,10034,1.310359,"2915353",
"249","2308906",Morrinhos,21065,8866,42.088773,12199,2.330296,"2308906",
"250","1301506",Envira,16350,9683,59.223242,6667,-2.167088,"1301506",
"251","4313656",Palmares do Sul,11387,9882,86.783174,1505,0.687189,"4313656",
"252","2309003",Mucambo,13985,8470,60.564891,5515,0.179016,"2309003",
"253","1301605",Fonte Boa,19609,12784,65.194554,6825,-6.551055,"1301605",
"254","4313706",Palmeira das Missões,33553,28332,84.439543,5221,-1.83299,"4313706",
"255","3165552",Setubinha,10813,2465,22.796634,8348,2.190839,"3165552",
"256","2915502",Itajuípe,20279,15700,77.419991,4579,-1.480618,"2915502",
"257","2309102",Mulungu,10956,4064,37.09383,6892,3.018564,"2309102",
"258","1301654",Guajará,14088,6541,46.429585,7547,0.912604,"1301654",
"259","2309201",Nova Olinda,12939,7723,59.687766,5216,0.989769,"2309201",
"260","1301704",Humaitá,38162,27748,72.711074,10414,2.188368,"1301704",
"261","4313904",Panambi,36233,32557,89.854552,3676,1.516401,"4313904",
"262","2309300",Nova Russas,30587,22169,72.478504,8418,0.592962,"2309300",
"263","1301803",Ipixuna,17037,7197,42.243353,9840,2.071658,"1301803",
"264","2309409",Novo Oriente,27385,13732,50.14424,13653,0.678468,"2309409",
"265","2915809",Itambé,32497,22127,68.089362,10370,0.745782,"2915809",
"266","1301852",Iranduba,32378,11898,36.747174,20480,0.033135,"1301852",
"267","2309458",Ocara,23242,7101,30.552448,16141,1.062876,"2309458",
"268","2916005",Itanhém,20607,14066,68.258359,6541,-0.494079,"2916005",
"269","2309508",Orós,21222,15525,73.155216,5697,-0.527873,"2309508",
"270","4314050",Parobé,48556,46029,94.7957,2527,1.164521,"4314050",
"271","2916203",Itapé,11116,6700,60.27348,4416,-3.856575,"2916203",
"272","2916302",Itapebi,11473,9527,83.038438,1946,0.439703,"2916302",
"273","2309805",Pacoti,11078,4474,40.386351,6604,0.193635,"2309805",
"274","3166204",Senhora dos Remédios,10189,3451,33.86986,6738,0.233508,"3166204",
"275","1302306",Jutaí,16878,9645,57.145396,7233,-4.024002,"1302306",
"276","2916500",Itapicuru,30547,6013,19.684421,24534,1.610408,"2916500",
"277","1302405",Lábrea,36235,21843,60.281496,14392,3.25541,"1302405",
"278","2310100",Palmácia,10288,4489,43.633359,5799,0.610332,"2310100",
"279","2310209",Paracuru,30527,19607,64.228388,10920,1.481376,"2310209",
"280","1302553",Manaquiri,18991,5085,26.775841,13906,5.903358,"1302553",
"281","2916807",Itarantim,17541,14347,81.791232,3194,0.513706,"2916807",
"282","2310258",Paraipaba,28101,13169,46.863101,14932,1.4188,"2310258",
"283","2310308",Parambu,30515,12849,42.10716,17666,-0.809715,"2310308",
"284","2916856",Itatim,14510,9611,66.237078,4899,1.921602,"2916856",
"285","1302702",Manicoré,43916,19465,44.323253,24451,2.073972,"1302702",
"286","3166808",Serra do Salitre,10154,7462,73.48828,2692,1.12373,"3166808",
"287","2916906",Itiruçu,15653,11570,73.915543,4083,2.04486,"2916906",
"288","2310407",Paramoti,11551,5140,44.498312,6411,0.739978,"2310407",
"289","1302801",Maraã,17450,7043,40.361032,10407,0.307472,"1302801",
