qc_id,uf,nome,icon_url
"0","11",Rondônia,
"1","12",Acre,
"2","13",Amazonas,
"3","15",Pará,
"4","16",Amapá,
"5","17",Tocantins,
"6","21",Maranhão,
"8","23",Ceará,
"9","24",Rio Grande do Norte,
"10","25",Paraíba,
"11","26",Pernambuco,
"12","27",Alagoas,
"13","28",Sergipe,
"16","32",Espírito Santo,
"17","33",Rio de Janeiro,
"21","43",Rio Grande do Sul,
"23","51",Mato Grosso,
"24","52",Goiás,
"26","14",Roraima,
"7","22",Piauí,./0.png
"14","29",Bahia,./0.png
"15","31",Minas Gerais,./0.png
"18","35",São Paulo,./0.png
"19","41",Paraná,./0.png
"20","42",Santa Catarina,./0.png
"22","50",Mato Grosso do Sul,./0.png
"25","53",Distrito Federal,./0.png
